Year,District,June,July,Aug,Sep,total,Rainy_Days,Light_Rainfall,moderate,Heavy,Very_Heavy_Rain,Extremely_Heavy_Rain
2015.0,Adilabad,344.4,141.6,136.6,176.0,798.6,39.0,36.0,11.0,2,1,
2015.0,Adilabad,344.4,141.6,136.6,176.0,798.6,39.0,36.0,11.0,2,1,
2015.0,Adilabad,357.0,133.0,143.2,175.2,808.4,39.0,35.0,10.0,3,0,
2015.0,Adilabad,267.8,86.4,282.2,244.6,881.0,39.0,30.0,12.0,4,0,
2015.0,Adilabad,334.6,130.2,89.2,254.2,808.2,35.0,30.0,9.0,4,0,
2015.0,Adilabad,331.4,123.2,101.0,172.2,727.8,34.0,33.0,13.0,1,0,
2015.0,Adilabad,287.8,66.8,95.4,186.6,636.6,34.0,28.0,7.0,3,0,
2015.0,Adilabad,341.6,103.2,160.4,143.8,749.0,31.0,35.0,11.0,1,1,
2015.0,Adilabad,370.2,181.6,99.8,183.6,835.2,41.0,31.0,14.0,2,0,
2015.0,Adilabad,435.8,118.0,191.8,243.6,989.2,43.0,35.0,8.0,4,1,
2015.0,Adilabad,413.6,93.8,242.6,205.4,955.4,29.0,19.0,10.0,4,1,
2015.0,Adilabad,344.4,141.6,136.6,176.0,798.6,39.0,36.0,11.0,2,1,
2015.0,Adilabad,287.8,66.8,95.4,186.6,636.6,34.0,28.0,7.0,3,0,
2015.0,Adilabad,332.8,185.0,150.2,128.2,796.2,37.0,35.0,13.0,2,0,
2015.0,Adilabad,435.8,118.0,191.8,243.6,989.2,43.0,35.0,8.0,4,1,
2015.0,Adilabad,447.0,85.6,180.6,186.6,899.8,40.0,33.0,13.0,3,0,
2015.0,Adilabad,334.6,130.2,89.2,254.2,808.2,35.0,30.0,9.0,4,0,
2015.0,Adilabad,358.8,163.4,110.4,273.0,905.6,39.0,24.0,11.0,4,1,
2015.0,Bhadradri Kothagudem,433.0,113.8,126.6,191.4,864.8,42.0,25.0,16.0,1,1,
2015.0,Bhadradri Kothagudem,503.6,165.2,322.4,177.6,1168.8,41.0,22.0,17.0,7,0,
2015.0,Bhadradri Kothagudem,584.6,145.6,203.2,347.4,1280.8,50.0,38.0,18.0,5,0,
2015.0,Bhadradri Kothagudem,405.8,66.2,208.2,137.2,817.4,40.0,28.0,17.0,1,0,
2015.0,Bhadradri Kothagudem,661.2,90.6,308.6,324.8,1385.2,56.0,39.0,17.0,3,2,
2015.0,Bhadradri Kothagudem,479.0,120.8,163.2,222.2,985.2,57.0,46.0,13.0,4,0,
2015.0,Bhadradri Kothagudem,503.6,165.2,322.4,177.6,1168.8,41.0,22.0,17.0,7,0,
2015.0,Bhadradri Kothagudem,560.6,253.8,302.0,248.8,1365.2,48.0,27.0,23.0,4,1,
2015.0,Bhadradri Kothagudem,487.2,79.0,277.2,260.6,1104.0,38.0,38.0,18.0,5,0,
2015.0,Bhadradri Kothagudem,505.4,78.8,312.2,332.2,1228.6,46.0,28.0,16.0,1,2,
2015.0,Bhadradri Kothagudem,651.0,185.8,182.8,257.0,1276.6,50.0,38.0,13.0,5,1,
2015.0,Bhadradri Kothagudem,433.0,113.8,126.6,191.4,864.8,42.0,25.0,16.0,1,1,
2015.0,Bhadradri Kothagudem,632.6,75.8,249.4,325.4,1283.2,46.0,21.0,24.0,2,1,
2015.0,Bhadradri Kothagudem,584.6,227.4,182.6,188.8,1183.4,45.0,30.0,17.0,4,1,
2015.0,Bhadradri Kothagudem,487.2,79.0,277.2,260.6,1104.0,38.0,38.0,18.0,5,0,
2015.0,Bhadradri Kothagudem,487.2,79.0,277.2,260.6,1104.0,38.0,38.0,18.0,5,0,
2015.0,Bhadradri Kothagudem,589.6,288.0,247.2,334.8,1459.6,54.0,41.0,18.0,5,1,
2015.0,Bhadradri Kothagudem,744.8,110.0,251.6,296.2,1402.6,45.0,19.0,21.0,3,3,
2015.0,Bhadradri Kothagudem,613.4,96.0,251.2,271.4,1232.0,52.0,38.0,19.0,2,1,
2015.0,Bhadradri Kothagudem,584.6,227.4,182.6,188.8,1183.4,45.0,30.0,17.0,4,1,
2015.0,Bhadradri Kothagudem,487.2,79.0,277.2,260.6,1104.0,38.0,38.0,18.0,5,0,
2015.0,Bhadradri Kothagudem,407.8,62.8,140.0,375.2,985.8,38.0,15.0,21.0,2,0,
2015.0,Bhadradri Kothagudem,448.4,59.8,143.2,345.4,996.8,46.0,30.0,16.0,2,1,
2015.0,Jayashankar Bhupalpally,564.6,107.4,256.0,119.6,1047.6,41.0,25.0,13.0,3,1,
2015.0,Jayashankar Bhupalpally,320.4,161.6,109.0,165.8,756.8,39.0,25.0,13.0,0,1,
2015.0,Jayashankar Bhupalpally,611.0,223.8,366.4,164.0,1365.2,44.0,22.0,19.0,4,1,
2015.0,Jayashankar Bhupalpally,574.4,176.8,185.0,280.6,1216.8,41.0,22.0,14.0,3,2,
2015.0,Jayashankar Bhupalpally,553.2,171.8,279.2,187.2,1191.4,45.0,29.0,13.0,6,1,
2015.0,Jayashankar Bhupalpally,611.0,223.8,366.4,164.0,1365.2,44.0,22.0,19.0,4,1,
2015.0,Jayashankar Bhupalpally,748.7,193.0,230.0,115.0,1286.7,47.0,26.0,19.0,4,1,
2015.0,Jayashankar Bhupalpally,608.8,142.0,154.0,178.6,1083.4,46.0,30.0,17.0,1,3,
2015.0,Jayashankar Bhupalpally,373.7,131.0,108.7,92.2,705.6,35.0,22.0,15.0,2,0,
2015.0,Jayashankar Bhupalpally,538.0,208.8,294.8,186.8,1228.4,49.0,24.0,19.0,4,0,
2015.0,Jayashankar Bhupalpally,327.2,125.4,147.2,166.8,766.6,44.0,36.0,9.0,1,1,
2015.0,Jayashankar Bhupalpally,485.6,168.2,325.8,214.0,1193.6,37.0,23.0,16.0,5,1,
2015.0,Jayashankar Bhupalpally,424.8,94.0,109.2,205.6,833.6,37.0,28.0,12.0,1,2,
2015.0,Jayashankar Bhupalpally,608.8,142.0,154.0,178.6,1083.4,46.0,30.0,17.0,1,3,
2015.0,Jayashankar Bhupalpally,366.4,236.0,194.2,170.4,967.0,41.0,21.0,18.0,1,1,
2015.0,Jayashankar Bhupalpally,463.8,146.4,256.8,229.6,1096.6,39.0,16.0,21.0,1,1,
2015.0,Jayashankar Bhupalpally,320.4,161.6,109.0,165.8,756.8,39.0,25.0,13.0,0,1,
2015.0,Jayashankar Bhupalpally,458.0,195.8,205.6,285.6,1145.0,43.0,23.0,18.0,2,1,
2015.0,Jayashankar Bhupalpally,547.2,218.4,374.4,167.4,1307.4,50.0,33.0,22.0,3,1,
2015.0,Jayashankar Bhupalpally,557.0,193.2,318.0,167.8,1236.0,51.0,40.0,10.0,4,1,
2015.0,Mancherial,348.6,200.6,173.6,172.8,895.6,40.0,33.0,15.0,1,1,
2015.0,Mancherial,272.4,128.4,255.2,157.2,813.2,43.0,26.0,15.0,2,0,
2015.0,Mancherial,333.2,226.8,154.2,131.4,845.6,36.0,35.0,12.0,2,1,
2015.0,Mancherial,336.6,181.8,200.6,102.6,821.6,42.0,26.0,17.0,1,0,
2015.0,Mancherial,158.0,190.6,197.4,184.2,730.2,38.0,30.0,12.0,0,1,
2015.0,Mancherial,216.4,213.2,121.8,245.0,796.4,41.0,39.0,15.0,2,0,
2015.0,Mancherial,333.2,226.8,154.2,131.4,845.6,36.0,35.0,12.0,2,1,
2015.0,Mancherial,199.2,183.6,243.8,229.2,855.8,39.0,36.0,12.0,1,1,
2015.0,Mancherial,272.4,128.4,255.2,157.2,813.2,43.0,26.0,15.0,2,0,
2015.0,Mancherial,301.4,269.8,223.8,193.2,988.2,43.0,41.0,9.0,3,1,
2015.0,Mancherial,353.4,237.8,229.8,162.8,983.8,34.0,22.0,12.0,3,1,
2015.0,Mancherial,238.4,252.6,200.2,222.0,913.2,48.0,26.0,20.0,1,1,
2015.0,Mancherial,216.4,213.2,121.8,245.0,796.4,41.0,39.0,15.0,2,0,
2015.0,Mancherial,174.4,255.4,187.8,169.4,787.0,40.0,35.0,15.0,3,0,
2015.0,Mancherial,216.4,213.2,121.8,245.0,796.4,41.0,39.0,15.0,2,0,
2015.0,Mancherial,370.8,128.2,228.4,143.4,870.8,34.0,23.0,14.0,1,1,
2015.0,Mancherial,236.6,148.2,141.0,201.2,727.0,42.0,39.0,10.0,2,0,
2015.0,Mancherial,511.0,121.4,348.2,155.8,1136.4,42.0,32.0,18.0,3,1,
2015.0,Nirmal,212.6,77.0,221.2,76.0,586.8,31.0,29.0,12.0,1,0,
2015.0,Nirmal,317.4,117.8,184.4,47.8,667.4,38.0,32.0,12.0,1,0,
2015.0,Nirmal,162.0,184.6,109.4,182.2,638.2,29.0,27.0,10.0,2,0,
2015.0,Nirmal,333.8,150.2,196.0,59.2,739.2,37.0,32.0,19.0,0,0,
2015.0,Nirmal,162.0,184.6,109.4,182.2,638.2,29.0,27.0,10.0,2,0,
2015.0,Nirmal,169.4,143.4,160.6,120.0,593.4,38.0,33.0,14.0,0,0,
2015.0,Nirmal,170.6,124.2,264.6,123.6,683.0,37.0,28.0,17.0,1,0,
2015.0,Nirmal,224.8,108.0,178.6,121.2,632.6,38.0,29.0,14.0,0,0,
2015.0,Nirmal,258.8,102.2,176.8,95.0,632.8,32.0,24.0,17.0,0,0,
2015.0,Nirmal,250.0,126.8,151.4,62.2,590.4,35.0,33.0,10.0,1,0,
2015.0,Nirmal,218.6,89.4,117.8,47.2,473.0,34.0,35.0,10.0,0,0,
