Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy,YEAR,August,September,Rainy Day,Very Light,Light,Moderate,Extremely Heavy,Rainy Days(out of 122)
2015.0,108,Adilabad,Adilabad Rural,344.4,141.6,136.6,176.0,798.6,39.0,72,36.0,11.0,2,1,,,,,,,,,
2015.0,109,Adilabad,Adilabad Urban,344.4,141.6,136.6,176.0,798.6,39.0,72,36.0,11.0,2,1,,,,,,,,,
2015.0,113,Adilabad,Bazarhathnoor,357.0,133.0,143.2,175.2,808.4,39.0,74,35.0,10.0,3,0,,,,,,,,,
2015.0,103,Adilabad,Bela,267.8,86.4,282.2,244.6,881.0,39.0,76,30.0,12.0,4,0,,,,,,,,,
2015.0,101,Adilabad,Bheempoor,334.6,130.2,89.2,254.2,808.2,35.0,79,30.0,9.0,4,0,,,,,,,,,
2015.0,114,Adilabad,Boath,331.4,123.2,101.0,172.2,727.8,34.0,75,33.0,13.0,1,0,,,,,,,,,
2015.0,104,Adilabad,Gadiguda,287.8,66.8,95.4,186.6,636.6,34.0,84,28.0,7.0,3,0,,,,,,,,,
2015.0,107,Adilabad,Gudihathnur,341.6,103.2,160.4,143.8,749.0,31.0,74,35.0,11.0,1,1,,,,,,,,,
2015.0,116,Adilabad,Ichoda,370.2,181.6,99.8,183.6,835.2,41.0,75,31.0,14.0,2,0,,,,,,,,,
2015.0,106,Adilabad,Inderavelly,435.8,118.0,191.8,243.6,989.2,43.0,74,35.0,8.0,4,1,,,,,,,,,
2015.0,102,Adilabad,Jainad,413.6,93.8,242.6,205.4,955.4,29.0,88,19.0,10.0,4,1,,,,,,,,,
2015.0,110,Adilabad,Mavala,344.4,141.6,136.6,176.0,798.6,39.0,72,36.0,11.0,2,1,,,,,,,,,
2015.0,105,Adilabad,Narnoor,287.8,66.8,95.4,186.6,636.6,34.0,84,28.0,7.0,3,0,,,,,,,,,
2015.0,115,Adilabad,Neradigonda,332.8,185.0,150.2,128.2,796.2,37.0,72,35.0,13.0,2,0,,,,,,,,,
2015.0,117,Adilabad,Sirikonda,435.8,118.0,191.8,243.6,989.2,43.0,74,35.0,8.0,4,1,,,,,,,,,
2015.0,112,Adilabad,Talamadugu,447.0,85.6,180.6,186.6,899.8,40.0,73,33.0,13.0,3,0,,,,,,,,,
2015.0,111,Adilabad,Tamsi,334.6,130.2,89.2,254.2,808.2,35.0,79,30.0,9.0,4,0,,,,,,,,,
2015.0,118,Adilabad,Utnur,358.8,163.4,110.4,273.0,905.6,39.0,82,24.0,11.0,4,1,,,,,,,,,
2015.0,907,Bhadradri Kothagudem,Allapalli,433.0,113.8,126.6,191.4,864.8,42.0,79,25.0,16.0,1,1,,,,,,,,,
2015.0,913,Bhadradri Kothagudem,Annapureddipalle,503.6,165.2,322.4,177.6,1168.8,41.0,76,22.0,17.0,7,0,,,,,,,,,
2015.0,905,Bhadradri Kothagudem,Aswapuram,584.6,145.6,203.2,347.4,1280.8,50.0,61,38.0,18.0,5,0,,,,,,,,,
2015.0,923,Bhadradri Kothagudem,Aswaraopeta,405.8,66.2,208.2,137.2,817.4,40.0,76,28.0,17.0,1,0,,,,,,,,,
2015.0,920,Bhadradri Kothagudem,Bhadrachalam,661.2,90.6,308.6,324.8,1385.2,56.0,61,39.0,17.0,3,2,,,,,,,,,
2015.0,919,Bhadradri Kothagudem,Burgampadu,479.0,120.8,163.2,222.2,985.2,57.0,59,46.0,13.0,4,0,,,,,,,,,
