Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2015,108,Adilabad,Adilabad Rural,344.4,141.6,136.6,176,798.6,39,72,36,11,2,1
2015,109,Adilabad,Adilabad Urban,344.4,141.6,136.6,176,798.6,39,72,36,11,2,1
2015,113,Adilabad,Bazarhathnoor,357,133,143.2,175.2,808.4,39,74,35,10,3,0
2015,103,Adilabad,Bela,267.8,86.4,282.2,244.6,881,39,76,30,12,4,0
2015,101,Adilabad,Bheempoor,334.6,130.2,89.2,254.2,808.2,35,79,30,9,4,0
2015,114,Adilabad,Boath,331.4,123.2,101,172.2,727.8,34,75,33,13,1,0
2015,104,Adilabad,Gadiguda,287.8,66.8,95.4,186.6,636.6,34,84,28,7,3,0
2015,107,Adilabad,Gudihathnur,341.6,103.2,160.4,143.8,749,31,74,35,11,1,1
2015,116,Adilabad,Ichoda,370.2,181.6,99.8,183.6,835.2,41,75,31,14,2,0
2015,106,Adilabad,Inderavelly,435.8,118,191.8,243.6,989.2,43,74,35,8,4,1
2015,102,Adilabad,Jainad,413.6,93.8,242.6,205.4,955.4,29,88,19,10,4,1
2015,110,Adilabad,Mavala,344.4,141.6,136.6,176,798.6,39,72,36,11,2,1
2015,105,Adilabad,Narnoor,287.8,66.8,95.4,186.6,636.6,34,84,28,7,3,0
2015,115,Adilabad,Neradigonda,332.8,185,150.2,128.2,796.2,37,72,35,13,2,0
2015,117,Adilabad,Sirikonda,435.8,118,191.8,243.6,989.2,43,74,35,8,4,1
2015,112,Adilabad,Talamadugu,447,85.6,180.6,186.6,899.8,40,73,33,13,3,0
2015,111,Adilabad,Tamsi,334.6,130.2,89.2,254.2,808.2,35,79,30,9,4,0
2015,118,Adilabad,Utnur,358.8,163.4,110.4,273,905.6,39,82,24,11,4,1
2015,907,Bhadradri Kothagudem,Allapalli,433,113.8,126.6,191.4,864.8,42,79,25,16,1,1
2015,913,Bhadradri Kothagudem,Annapureddipalle,503.6,165.2,322.4,177.6,1168.8,41,76,22,17,7,0
2015,905,Bhadradri Kothagudem,Aswapuram,584.6,145.6,203.2,347.4,1280.8,50,61,38,18,5,0
2015,923,Bhadradri Kothagudem,Aswaraopeta,405.8,66.2,208.2,137.2,817.4,40,76,28,17,1,0
2015,920,Bhadradri Kothagudem,Bhadrachalam,661.2,90.6,308.6,324.8,1385.2,56,61,39,17,3,2
2015,919,Bhadradri Kothagudem,Burgampadu,479,120.8,163.2,222.2,985.2,57,59,46,13,4,0
2015,912,Bhadradri Kothagudem,Chandrugonda,503.6,165.2,322.4,177.6,1168.8,41,76,22,17,7,0
2015,903,Bhadradri Kothagudem,Cherla,560.6,253.8,302,248.8,1365.2,48,67,27,23,4,1
2015,914,Bhadradri Kothagudem,Chunchupally,487.2,79,277.2,260.6,1104,38,61,38,18,5,0
2015,922,Bhadradri Kothagudem,Dammapeta,505.4,78.8,312.2,332.2,1228.6,46,75,28,16,1,2
2015,904,Bhadradri Kothagudem,Dummugudem,651,185.8,182.8,257,1276.6,50,65,38,13,5,1
2015,908,Bhadradri Kothagudem,Gundala,433,113.8,126.6,191.4,864.8,42,79,25,16,1,1
2015,911,Bhadradri Kothagudem,Julurpad,632.6,75.8,249.4,325.4,1283.2,46,74,21,24,2,1
2015,901,Bhadradri Kothagudem,Karakagudem,584.6,227.4,182.6,188.8,1183.4,45,70,30,17,4,1
2015,916,Bhadradri Kothagudem,Kothagudem,487.2,79,277.2,260.6,1104,38,61,38,18,5,0
2015,917,Bhadradri Kothagudem,Laxmidevipalli,487.2,79,277.2,260.6,1104,38,61,38,18,5,0
2015,906,Bhadradri Kothagudem,Manuguru,589.6,288,247.2,334.8,1459.6,54,57,41,18,5,1
2015,921,Bhadradri Kothagudem,Mulakalapalle,744.8,110,251.6,296.2,1402.6,45,76,19,21,3,3
2015,918,Bhadradri Kothagudem,Palawancha,613.4,96,251.2,271.4,1232,52,62,38,19,2,1
2015,902,Bhadradri Kothagudem,Pinapaka,584.6,227.4,182.6,188.8,1183.4,45,70,30,17,4,1
2015,915,Bhadradri Kothagudem,Sujathanagar,487.2,79,277.2,260.6,1104,38,61,38,18,5,0
2015,910,Bhadradri Kothagudem,Tekulapalle,407.8,62.8,140,375.2,985.8,38,84,15,21,2,0
2015,909,Bhadradri Kothagudem,Yellandu,448.4,59.8,143.2,345.4,996.8,46,73,30,16,2,1
2015,2207,Hyderabad,Amberpet,204.6,57.6,98.8,352.8,713.8,34,79,25,16,2,0
2015,2202,Hyderabad,Ameerpet,142.2,38.4,100.8,150.2,431.6,29,87,25,10,0,0
2015,2211,Hyderabad,Asifnagar,117.5,45,116.2,183.4,462.1,33,83,26,13,0,0
2015,2213,Hyderabad,Bahadurpura,124.2,29.4,102.4,176.6,432.6,29,82,30,10,0,0
2015,2214,Hyderabad,Bandlaguda,131.6,29.8,102.4,178.4,442.2,29,80,32,10,0,0
2015,2215,Hyderabad,Charminar,128.8,42.6,156,315.2,642.6,35,78,30,14,0,0
2015,2212,Hyderabad,Golkonda,125.2,45.8,98,158.2,427.2,33,80,30,12,0,0
2015,2208,Hyderabad,Himayatnagar,159.2,40.4,77.6,250.8,528,30,91,19,12,0,0
2015,2210,Hyderabad,Khairatabad,117.5,45,116.2,183.4,462.1,33,83,26,13,0,0
2015,2205,Hyderabad,Maredpally,148,31.6,45.4,173.2,398.2,21,100,10,12,0,0
2015,2206,Hyderabad,Musheerabad,178.6,44,61.6,280.6,564.8,28,91,17,13,1,0
2015,2209,Hyderabad,Nampally,100.7,30.4,145.3,270,546.4,31,85,25,12,0,0
2015,2216,Hyderabad,Saidabad,204.6,57.6,100.8,352.8,715.8,34,79,25,16,2,0
2015,2203,Hyderabad,Secunderabad,161.6,37.8,59.4,135,393.8,23,74,40,8,0,0
2015,2201,Hyderabad,Shaikpet,125.2,45.8,98,158.2,427.2,33,80,30,12,0,0
2015,2204,Hyderabad,Tirumalgiri,148,31.6,45.4,173.2,398.2,21,100,10,12,0,0
2015,604,Jagtial,Beerpur,152.6,121.4,120.4,313.2,707.6,31,90,22,8,1,1
2015,607,Jagtial,Buggaram,156.4,176.6,180,295.2,808.2,36,83,24,13,1,1
2015,606,Jagtial,Dharmapuri,156.4,176.6,180,295.2,808.2,36,83,24,13,1,1
2015,617,Jagtial,Gollapalle,224.4,188,118.2,187.4,718,29,89,21,9,2,1
2015,601,Jagtial,Ibrahimpatnam,173.2,78,120,108,479.2,30,88,23,11,0,0
2015,608,Jagtial,Jagityal_Rural,156.4,119,205.5,240.8,721.7,34,88,20,12,1,1
