Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days(out of 122),No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2016,108,Adilabad,Adilabad Rural,321.8,446.2,82,243.3,1093.3,46,60,41,19,1,1
2016,109,Adilabad,Adilabad Urban,321.8,446.2,82,243.3,1093.3,46,60,41,19,1,1
2016,113,Adilabad,Bazarhathnoor,295.4,419.6,132.2,289.4,1136.6,52,60,41,19,1,1
2016,103,Adilabad,Bela,178,422,94.8,269.6,964.4,57,61,39,17,5,0
2016,101,Adilabad,Bheempoor,334,453.8,88,236.8,1112.6,48,61,44,14,3,0
2016,114,Adilabad,Boath,347,462.4,207.6,200.6,1217.6,50,69,30,20,2,1
2016,104,Adilabad,Gadiguda,281,494.4,74.6,322.8,1172.8,52,59,39,20,4,0
2016,107,Adilabad,Gudihathnur,232.6,431.6,101.4,283.6,1049.2,53,61,40,17,4,0
2016,116,Adilabad,Ichoda,322.4,433.2,132,260.8,1148.4,53,62,41,15,4,0
2016,106,Adilabad,Inderavelly,194.4,544.8,158.8,348.4,1246.4,50,63,35,22,2,0
2016,102,Adilabad,Jainad,219.2,509.2,155.2,268.6,1152.2,45,69,33,16,2,2
2016,110,Adilabad,Mavala,321.8,446.2,82,243.3,1093.3,46,68,34,16,3,1
2016,105,Adilabad,Narnoor,281,494.4,74.6,322.8,1172.8,52,60,41,19,1,1
2016,115,Adilabad,Neradigonda,274.4,408.2,228.8,271.6,1183,48,61,40,17,4,0
2016,117,Adilabad,Sirikonda,194.4,544.8,158.8,348.4,1246.4,50,56,43,20,3,0
2016,112,Adilabad,Talamadugu,333.4,573.2,137.8,248,1292.4,44,69,33,16,2,2
2016,111,Adilabad,Tamsi,334,453.8,88,236.8,1112.6,48,69,30,17,5,1
2016,118,Adilabad,Utnur,132.2,361.6,110.6,251,855.4,45,69,30,20,2,1
2016,907,Bhadradri Kothagudem,Allapalli,406.6,231.2,102.2,355.8,1095.8,46,66,44,8,3,1
2016,913,Bhadradri Kothagudem,Annapureddipalle,370.4,139.6,117.2,287.6,914.8,54,75,28,13,6,0
2016,905,Bhadradri Kothagudem,Aswapuram,487.4,340.8,159,325.8,1313,55,62,44,15,0,1
2016,923,Bhadradri Kothagudem,Aswaraopeta,496.4,174,100.4,320.4,1091.2,49,62,34,24,1,1
2016,920,Bhadradri Kothagudem,Bhadrachalam,466.6,199,172.2,401.2,1239,51,73,29,16,4,0
2016,919,Bhadradri Kothagudem,Burgampadu,530.6,173.2,210.2,311.2,1225.2,58,62,38,18,4,0
2016,912,Bhadradri Kothagudem,Chandrugonda,370.4,139.6,117.2,287.6,914.8,54,58,41,19,3,1
2016,903,Bhadradri Kothagudem,Cherla,424.4,396.6,150.4,287,1258.4,53,62,44,15,0,1
2016,914,Bhadradri Kothagudem,Chunchupally,385.4,188.8,221.6,267.4,1063.2,48,65,29,24,4,0
2016,922,Bhadradri Kothagudem,Dammapeta,557.4,135.8,151,290.4,1134.6,51,53,50,15,4,0
2016,904,Bhadradri Kothagudem,Dummugudem,335.8,358.6,195.4,416.8,1306.6,58,67,32,20,3,0
2016,908,Bhadradri Kothagudem,Gundala,406.6,231.2,102.2,355.8,1095.8,46,62,35,21,4,0
2016,911,Bhadradri Kothagudem,Julurpad,329,128.6,143.8,216.8,818.2,49,75,28,13,6,0
2016,901,Bhadradri Kothagudem,Karakagudem,515.8,375.4,167,307.6,1365.8,52,67,37,16,2,0
2016,916,Bhadradri Kothagudem,Kothagudem,385.4,188.8,221.6,267.4,1063.2,48,62,31,26,3,0
2016,917,Bhadradri Kothagudem,Laxmidevipalli,385.4,188.8,221.6,267.4,1063.2,48,53,50,15,4,0
2016,906,Bhadradri Kothagudem,Manuguru,408,464.6,182.4,377,1432,50,53,50,15,4,0
2016,921,Bhadradri Kothagudem,Mulakalapalle,574.8,189.2,158.2,425.8,1348,52,48,47,20,7,0
2016,918,Bhadradri Kothagudem,Palawancha,387.6,162.2,183,327.2,1060,49,63,36,20,0,3
2016,902,Bhadradri Kothagudem,Pinapaka,515.8,375.4,167,307.6,1365.8,52,66,32,23,1,0
2016,915,Bhadradri Kothagudem,Sujathanagar,385.4,188.8,221.6,267.4,1063.2,48,62,31,26,3,0
2016,910,Bhadradri Kothagudem,Tekulapalle,479.6,113.6,151.8,383.2,1128.2,40,53,50,15,4,0
2016,909,Bhadradri Kothagudem,Yellandu,318.8,99.2,165.2,392,975.2,46,82,16,21,2,1
2016,2207,Hyderabad,Amberpet,126.2,174.4,116,571.4,988,52,74,30,14,4,0
2016,2202,Hyderabad,Ameerpet,199.4,221,81.4,498.2,1000,47,66,38,15,3,0
2016,2211,Hyderabad,Asifnagar,58,163,57.8,410.4,689.2,43,66,36,18,2,0
2016,2213,Hyderabad,Bahadurpura,67.4,132,125.6,473.6,798.6,37,68,43,9,2,0
2016,2214,Hyderabad,Bandlaguda,67.4,132,125.6,473.6,798.6,37,70,36,13,3,0
2016,2215,Hyderabad,Charminar,98.2,157.2,169.2,522.8,947.4,46,70,36,13,3,0
2016,2212,Hyderabad,Golkonda,93.2,204.4,164.4,447,909,42,68,36,15,3,0
2016,2208,Hyderabad,Himayatnagar,102.2,218.8,98,511.6,930.6,46,67,34,20,1,0
2016,2210,Hyderabad,Khairatabad,136.4,181.4,101.2,430.4,849.4,45,69,35,15,3,0
2016,2205,Hyderabad,Maredpally,84.6,234.4,83.4,546.6,949,48,62,45,13,2,0
2016,2206,Hyderabad,Musheerabad,158.4,239.8,99.6,553,1050.8,47,64,39,16,3,0
2016,2209,Hyderabad,Nampally,54.4,155.8,68.6,443.2,722,43,66,35,19,2,0
2016,2216,Hyderabad,Saidabad,98.8,161.2,121.2,502.6,883.8,40,67,42,10,3,0
2016,2203,Hyderabad,Secunderabad,140,195,73.5,439.6,848.1,42,69,36,14,3,0
2016,2201,Hyderabad,Shaikpet,167.6,189.6,94.6,402.4,854.2,44,63,42,14,3,0
2016,2204,Hyderabad,Tirumalgiri,84.6,234.4,83.4,546.6,949,48,64,39,17,2,0
2016,604,Jagtial,Beerpur,152.4,355,154,360.4,1021.8,51,64,39,16,3,0
2016,607,Jagtial,Buggaram,125.4,334.6,89.4,250.2,799.6,43,68,30,21,3,0
2016,606,Jagtial,Dharmapuri,125.4,334.6,89.4,250.2,799.6,43,70,31,21,0,0
2016,617,Jagtial,Gollapalle,102,311.8,140.8,260.2,814.8,41,70,31,21,0,0
2016,601,Jagtial,Ibrahimpatnam,388.6,337.8,351.2,452.6,1530.2,55,66,36,20,0,0
2016,608,Jagtial,Jagityal_Rural,200.6,332.4,216.8,320,1069.8,53,67,23,26,5,1
2016,609,Jagtial,Jagtial,200.6,332.4,216.8,320,1069.8,53,69,31,21,1,0
2016,613,Jagtial,Kathlapur,178.6,197.6,185.8,243.8,805.8,48,69,31,21,1,0
2016,614,Jagtial,Kodimial,105,205.2,76.4,297,683.6,47,73,32,16,1,0
2016,611,Jagtial,Koratla,170,253.2,269.8,270.6,963.6,48,73,34,15,0,0
2016,615,Jagtial,Malial,128.6,231.2,137.2,351.2,848.2,49,74,24,23,0,1
2016,602,Jagtial,Mallapur,113.2,380.8,169.8,296,959.8,48,68,37,16,1,0
2016,610,Jagtial,Medipalle,153.2,200,171,303.4,827.6,49,66,34,20,2,0
2016,612,Jagtial,Metpalle,368.8,313.6,421.4,376.4,1480.2,58,71,30,20,1,0
2016,616,Jagtial,Pegadapalle,138,235.6,88.8,282.6,745,40,64,27,28,2,1
2016,603,Jagtial,Raikal,153.8,339.8,162.8,304.2,960.6,45,81,23,17,1,0
2016,605,Jagtial,Sarangapur,152.4,355,154,360.4,1021.8,51,76,22,24,0,0
2016,618,Jagtial,Velgatoor,124.8,326,199.8,234,884.6,48,68,30,21,3,0
2016,1907,Jangaon,Bachannapeta,90.8,254.8,101.4,450.6,897.6,42,73,28,19,2,0
2016,1902,Jangaon,Chilpur,180.4,285.4,120,531,1116.8,42,70,37,12,3,0
2016,1911,Jangaon,Devaruppala,296,153,166,545,1160,33,72,29,18,1,2
2016,1904,Jangaon,Ganpur_stn,180.4,285.4,120,531,1116.8,42,89,13,13,6,1
2016,1910,Jangaon,Gundala,277.8,237.8,107.2,489,1111.8,34,72,29,18,1,2
2016,1908,Jangaon,Jangaon,78.6,152,73.8,428.2,732.6,27,86,17,15,2,2
2016,1913,Jangaon,Kodakandla,335.8,210,74.2,387,1007,43,90,16,12,4,0
2016,1909,Jangaon,Lingalaghanpur,132.4,216.8,59,498.8,907,37,77,24,19,1,1
2016,1906,Jangaon,Narmetta,131.8,274,77,437,919.8,41,84,19,15,4,0
2016,1912,Jangaon,Palakurthi,316,273,92.8,392.8,1074.6,32,78,27,13,2,2
2016,1905,Jangaon,Raghunathpalle,193.6,246.6,83.4,626.6,1150.2,47,90,13,13,4,2
2016,1901,Jangaon,Tharigoppula,131.8,274,77,437,919.8,41,74,27,16,2,3
2016,1903,Jangaon,Zaffergadh,222.6,132.2,41.8,212.2,608.8,30,78,27,13,2,2
2016,811,Jayashankar Bhupalpally,Bhupalpalle,144.4,421.6,157,227.4,950.4,51,82,25,14,1,0
2016,806,Jayashankar Bhupalpally,Chityal,316.2,328.8,93,406.6,1144.6,52,71,28,23,0,0
2016,816,Jayashankar Bhupalpally,Eturunagaram,417.8,384.4,243.4,299.4,1345,60,70,32,17,2,1
2016,810,Jayashankar Bhupalpally,Ghanapur_Mulug,309.8,346.4,143.6,227.6,1027.4,46,61,36,23,2,0
2016,814,Jayashankar Bhupalpally,Govindaraopet,297.6,212.6,119.4,246.2,875.8,45,76,18,27,0,1
2016,817,Jayashankar Bhupalpally,Kannaigudem,417.8,384.4,243.4,299.4,1345,60,64,40,16,1,1
2016,804,Jayashankar Bhupalpally,Kataram,173.4,366.4,257.8,336.2,1133.8,54,61,36,23,2,0
2016,801,Jayashankar Bhupalpally,Mahadevpur,177,373.6,282,307,1139.6,51,69,22,31,0,0
2016,805,Jayashankar Bhupalpally,Malharrao,156,326.2,132.6,271.4,886.2,46,67,31,20,4,0
2016,820,Jayashankar Bhupalpally,Mangapet,433.2,367.6,198.2,269.6,1268.6,57,72,29,21,0,0
